Naziv stavke,Šifra stavke,KPD,Jedinična cijena,Mjerna jedinica,Zadani popust,Porezna stopa,Osnova oslobođenja,Razlog oslobođenja od PDV-a,Opis
Blupura Rebel 30,,28.29.12,"1.343,00",piece,,25,,,nerashlađena i  hladna voda: 30l/h
Blupura Rebel 30 + automatski dozator,,28.29.12,"1.508,00",piece,,25,,,nerashlađena i hladna voda: 30l/h
Blupura Rebel 30 Fizz,,28.29.12,"1.912,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Rebel 30 Fizz + automatski dozator,,28.29.12,"2.077,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Rebel Super Hot 30,,28.29.12,"2.101,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Rebel Super Hot 30 Fizz,,28.29.12,"2.678,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Rebel Plus 30,,28.29.12,"1.871,00",piece,,25,,,nerashlađena i hladna voda s automatskim dozatorom: 30 l/h
Blupura Rebel Plus 30 Fizz,,28.29.12,"2.440,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda s automatskim dozatorom: 30 l/h"
Blupura Rebel Plus Super Hot 30,,28.29.12,"2.629,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj s automatskim dozatorom: 30 l/h"
Blupura Rebel Plus Super Hot 30 Fizz,,28.29.12,"3.206,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj s automatskim dozatorom: 30 l/h"
Blupura Rebel 60,,28.29.12,"1.736,00",piece,,25,,,nerashlađena i hladna voda: 60 l/h
Blupura Rebel 60 + automatski dozator,,28.29.12,"1.896,00",piece,,25,,,nerashlađena i hladna voda: 60 l/h
Blupura Rebel 60 Fizz,,28.29.12,"2.272,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 60 l/h"
Blupura Rebel 60 Fizz + automatski dozator,,28.29.12,"2.432,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 60 l/h"
Blupura Rebel Super Hot 60,,28.29.12,"2.320,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 60 l/h"
Blupura Rebel Super Hot 60 Fizz,,28.29.12,"2.880,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 60 l/h"
Blupura Piccola 15,,28.29.12,"1.067,00",piece,,25,,,nerashlađena i hladna voda: 15 l/h
Blupura Piccola 15 Fizz,,28.29.12,"1.612,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 15 l/h"
Blupura Piccola Osmo 15 Fizz,,28.29.12,"1.952,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 15 l/h"
Blupura Piccola Hot 15,,28.29.12,"1.379,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Piccola Hot 15 Fizz,,28.29.12,"1.958,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Piccola White 15,,28.29.12,"1.067,00",piece,,25,,,nerashlađena i hladna voda: 15 l/h
Blupura Piccola White 15 Fizz,,28.29.12,"1.612,00",piece,,25,,,"gazirana, polugazirana, nerashlađena i hladna voda: 15 l/h"
Blupura Piccola White Hot 15,,28.29.12,"1.379,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Piccola White Hot 15 Fizz,,28.29.12,"1.958,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 15 l/h"
Blupura Rock 30,,28.29.12,"1.697,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Rock 30 Fizz,,28.29.12,"2.418,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Rock 30 Fizz + automatski dozator,,28.29.12,"2.715,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Rock Super Hot 30,,28.29.12,"2.546,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Rock Super Hot 30 Fizz,,28.29.12,"3.183,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Rock 45,,28.29.12,"2.011,00",piece,,25,,,nerashlađena i hladna voda: 45 l/h
Blupura Rock 45 Fizz,,28.29.12,"2.719,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45 l/h"
Blupura Rock 45 Fizz + automatski dozator,,28.29.12,"3.016,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 45l/h"
Blupura Rock Super Hot 45,,28.29.12,"2.884,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Rock Super Hot 45 Fizz,,28.29.12,"3.543,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 45 l/h"
Blupura Blusoda 30,,28.29.12,"1.424,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Blusoda 30 Fizz,,28.29.12,"2.152,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda 30 Fizz + automatski dozator,,28.29.12,"2.449,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Plus 30 Fizz,,28.29.12,"2.225,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Plus 30 Fizz + automatski dozator,,28.29.12,"2.522,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Plus 30 Mix,,28.29.12,"2.322,00",piece,,25,,,"gazirana, polugazirana i hladna voda: 30 l/h"
Blupura Blusoda Hot 30,,28.29.12,"1.862,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Blusoda Hot 30 Fizz,,28.29.12,"2.577,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Blusoda Black 30,,28.29.12,"1.589,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Blusoda Black 30 Fizz,,28.29.12,"2.328,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Black 30 Fizz + automatski dozator,,28.29.12,"2.625,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda Black Hot 30,,28.29.12,"2.031,00",piece,,25,,,"nerashlađena, hladna i vruća voda za čaj: 30l/h"
Blupura Blusoda Black Hot 30 Fizz,,28.29.12,"2.753,00",piece,,25,,,"gazirana, nerashlađena, hladna i vruća voda za čaj: 30 l/h"
Blupura Blusoda Touch Free 30,,28.29.12,"1.828,00",piece,,25,,,nerashlađena i hladna voda: 30 l/h
Blupura Blusoda Touch Free 30 Fizz,,28.29.12,"2.554,00",piece,,25,,,"gazirana, nerashlađena i hladna voda: 30 l/h"
Blupura Blusoda 45,,28.29.12,"1.839,00",piece,,25,,,nerashlađena i hladna voda: 45 l/h
