Šifra,Razlog
HR_PPO_75_3_a,Prijenos porezne obveze prema čl. 75. st. 3. t. a. Zakona o PDV-u
HR_PPO_75_3_b,Prijenos porezne obveze prema čl. 75. st. 3. t. b. Zakona o PDV-u
HR_PPO_75_3_c,Prijenos porezne obveze prema čl. 75. st. 3. t. c. Zakona o PDV-u
HR_PPO_75_3_d,Prijenos porezne obveze prema čl. 75. st. 3. t. d. Zakona o PDV-u
HR_OSL_40_1_b,Oslobođeno PDV-a prema čl. 40. st. 1. t. b. Zakona o PDV-u
HR_OSL_40_1_j,Oslobođeno PDV-a prema čl. 40. st. 1. t. j. Zakona o PDV-u
HR_OSL_40_1_k,Oslobođeno PDV-a prema čl. 40. st. 1. t. k. Zakona o PDV-u
HR_OSL_40_1_l,Oslobođeno PDV-a prema čl. 40. st. 1. t. l. Zakona o PDV-u
HR_OSL_40_2,Oslobođeno PDV-a prema čl. 40. st. 2. Zakona o PDV-u.
HR_OSL_39_1_i,Oslobođeno PDV-a prema čl. 39. st. 1. t. i. Zakona o PDV-u
HR_OSL_11a_11c,Oslobođeno PDV-a prema čl.11.a i 11.c Zakona o PDV-u
HR_OSL_10,Oslobođeno PDV-a prema čl.10. Pravilnika o PDV-u
HR_OSL_43_2,Oslobođeno PDV-a prema čl. 43. st. 2. Zakona o PDV-u
HR_OSL_20_1,Oslobođeno PDV-a prema čl. 20 st. 1. Zakona o PDV-u
HR_OSL_198,Oslobođeno PDV-a prema čl. 198. Pravilnika o PDV-u.
HR_NOP_47_1_a,Oslobođeno PDV-a prema čl. 47. st. 1. t. a. Zakona o PDV-u
HR_NOP_48_1_a,Oslobođeno PDV-a prema čl. 48. st. 1. t. a. Zakona o PDV-u
HR_NOP_44_1_35,Oslobođeno PDV-a prema čl. 44. st. 1. t. 35 Zakona o PDV-u
HR_NOP_44_1_38,Oslobođeno PDV-a prema čl. 44. st. 1. t. 38 Zakona o PDV-u
HR_NOP_38_6,Oslobođeno PDV-a prema čl. 38. stavka 6. Zakona o PDV-u
HR_NOP_6,Oslobođeno PDV-a prema čl. 6. Zakona o PDV-u
HR_NOP_49,Oslobođeno PDV-a prema čl. 49. Zakona o PDV-u
HR_IZ_45_1,Oslobođeno PDV-a prema čl. 45. st. 1. Zakona o PDV-u.
HR_OST_RD,Posebni postupak oporezivanja - rabljena dobra
HR_OST_UD,Posebni postupak oporezivanja - umjetnička djela
HR_OST_KAP,Posebni postupak oporezivanja -kolekcionarski ili antikni predmeti
HR_OST_PA,Posebni postupak oporezivanja - putničke agencije
HR_OST_33_3,Prolazna stavka prema čl. 33. st. 3. Zakona o PDV-u.
HR_OST_41_6,PPMV nije predmet oporezivanja PDV-om prema čl. 41. st. 6. Pravilnika o PDV-u.
